index,latency_ns,revision,revision_present,output_probe
0,84673,1000,True,-0.6450552940368652
1,84576,1000,True,-0.7227338552474976
2,81519,1000,True,-0.7925189733505249
3,83129,1000,True,-0.8568748235702515
4,82447,1000,True,-0.9114580750465393
5,85335,1000,True,-0.9656143188476562
6,82229,1000,True,-1.0166444778442383
7,81548,1000,True,-1.0674688816070557
8,80969,1000,True,-1.1145856380462646
9,81346,1000,True,-1.1540170907974243
10,81689,1000,True,-1.1885720491409302
11,81777,1000,True,-1.2167845964431763
12,82638,1000,True,-1.242681860923767
13,82433,1000,True,-1.2677175998687744
14,81674,1000,True,-1.2885178327560425
15,82652,1000,True,-1.3059388399124146
16,83537,1000,True,-1.3188451528549194
17,82104,1000,True,-1.3303632736206055
18,82517,1000,True,-1.340039610862732
19,82707,1000,True,-1.3480418920516968
20,81417,1000,True,-1.3517463207244873
21,82554,1000,True,-1.3540152311325073
22,81771,1000,True,-1.3519519567489624
23,82427,1000,True,-1.345444679260254
24,81780,1000,True,-1.3378039598464966
25,81834,1000,True,-1.3292657136917114
26,82356,1000,True,-1.3176777362823486
27,82600,1000,True,-1.3030309677124023
28,81647,1000,True,-1.2819935083389282
29,82529,1000,True,-1.2562748193740845
30,82703,1000,True,-1.2276681661605835
31,82947,1000,True,-1.1929657459259033
32,81479,1000,True,-1.1496286392211914
33,81578,1000,True,-1.0950809717178345
34,81397,1000,True,-1.0278855562210083
35,82115,1000,True,-0.9542962312698364
36,81895,1000,True,-0.8665689826011658
37,82384,1000,True,-0.7609890699386597
38,83575,1000,True,-0.6263324022293091
39,82557,1000,True,-0.4613550007343292
40,90695,1000,True,-0.2747792899608612
41,91941,1000,True,-0.08334271609783173
42,81663,1000,True,0.09975647181272507
43,83512,1000,True,0.27296188473701477
44,82229,1000,True,0.4357767403125763
45,30543960,1000,True,-0.24028226733207703
46,88339,1000,True,-0.30693739652633667
47,85099,1000,True,-0.3863624334335327
48,84120,1000,True,-0.4736209511756897
49,83622,1000,True,-0.5607803463935852
50,82867,1000,True,-0.6450552940368652
51,83052,1000,True,-0.7227338552474976
52,82779,1000,True,-0.7925189733505249
53,84299,1000,True,-0.8568748235702515
54,85842,1000,True,-0.9114580750465393
55,84111,1000,True,-0.9656143188476562
56,84000,1000,True,-1.0166444778442383
57,83404,1000,True,-1.0674688816070557
58,82073,1000,True,-1.1145856380462646
59,83136,1000,True,-1.1540170907974243
60,82988,1000,True,-1.1885720491409302
61,83419,1000,True,-1.2167845964431763
62,82424,1000,True,-1.242681860923767
63,82753,1000,True,-1.2677175998687744
64,82496,1000,True,-1.2885178327560425
65,86070,1000,True,-1.3059388399124146
66,83905,1000,True,-1.3188451528549194
67,84260,1000,True,-1.3303632736206055
68,83055,1000,True,-1.340039610862732
69,82481,1000,True,-1.3480418920516968
70,82477,1000,True,-1.3517463207244873
71,85061,1000,True,-1.3540152311325073
72,83781,1000,True,-1.3519519567489624
73,82864,1000,True,-1.345444679260254
74,82242,1000,True,-1.3378039598464966
75,85114,1000,True,-1.3292657136917114
76,83141,1000,True,-1.3176777362823486
77,82277,1000,True,-1.3030309677124023
78,81996,1000,True,-1.2819935083389282
79,82809,1000,True,-1.2562748193740845
80,82875,1000,True,-1.2276681661605835
81,83582,1000,True,-1.1929657459259033
82,82398,1000,True,-1.1496286392211914
83,83300,1000,True,-1.0950809717178345
84,83215,1000,True,-1.0278855562210083
85,83829,1000,True,-0.9542962312698364
86,85004,1000,True,-0.8665689826011658
87,83356,1000,True,-0.7609890699386597
88,82922,1000,True,-0.6263324022293091
89,83703,1000,True,-0.4613550007343292
90,82837,1000,True,-0.2747792899608612
91,83533,1000,True,-0.08334271609783173
92,83221,1000,True,0.09975647181272507
93,83458,1000,True,0.27296188473701477
94,83006,1000,True,0.4357767403125763
95,30506611,1000,True,-0.24028226733207703
96,89331,1000,True,-0.30693739652633667
97,84903,1000,True,-0.3863624334335327
98,84170,1000,True,-0.4736209511756897
99,84410,1000,True,-0.5607803463935852
