index,latency_ns,revision,revision_present,output_probe
0,84569,1000,True,-0.6450552940368652
1,83573,1000,True,-0.7227338552474976
2,82258,1000,True,-0.7925189733505249
3,82295,1000,True,-0.8568748235702515
4,81771,1000,True,-0.9114580750465393
5,82368,1000,True,-0.9656143188476562
6,81849,1000,True,-1.0166444778442383
7,81951,1000,True,-1.0674688816070557
8,81730,1000,True,-1.1145856380462646
9,82797,1000,True,-1.1540170907974243
10,82116,1000,True,-1.1885720491409302
11,82435,1000,True,-1.2167845964431763
12,82448,1000,True,-1.242681860923767
13,81894,1000,True,-1.2677175998687744
14,81397,1000,True,-1.2885178327560425
15,81804,1000,True,-1.3059388399124146
16,82036,1000,True,-1.3188451528549194
17,82338,1000,True,-1.3303632736206055
18,82131,1000,True,-1.340039610862732
19,81956,1000,True,-1.3480418920516968
20,83740,1000,True,-1.3517463207244873
21,82778,1000,True,-1.3540152311325073
22,81176,1000,True,-1.3519519567489624
23,81885,1000,True,-1.345444679260254
24,81718,1000,True,-1.3378039598464966
25,82273,1000,True,-1.3292657136917114
26,81246,1000,True,-1.3176777362823486
27,81635,1000,True,-1.3030309677124023
28,81461,1000,True,-1.2819935083389282
29,81697,1000,True,-1.2562748193740845
30,82215,1000,True,-1.2276681661605835
31,84456,1000,True,-1.1929657459259033
32,88674,1000,True,-1.1496286392211914
33,82026,1000,True,-1.0950809717178345
34,81344,1000,True,-1.0278855562210083
35,82208,1000,True,-0.9542962312698364
36,82089,1000,True,-0.8665689826011658
37,82095,1000,True,-0.7609890699386597
38,82001,1000,True,-0.6263324022293091
39,82150,1000,True,-0.4613550007343292
40,81615,1000,True,-0.2747792899608612
41,82273,1000,True,-0.08334271609783173
42,81409,1000,True,0.09975647181272507
43,82590,1000,True,0.27296188473701477
44,82338,1000,True,0.4357767403125763
45,30333965,1000,True,-0.24028226733207703
46,92648,1000,True,-0.30693739652633667
47,86066,1000,True,-0.3863624334335327
48,84135,1000,True,-0.4736209511756897
49,84300,1000,True,-0.5607803463935852
50,83880,1000,True,-0.6450552940368652
51,83910,1000,True,-0.7227338552474976
52,84101,1000,True,-0.7925189733505249
53,385905,1000,True,-0.8568748235702515
54,82919,1000,True,-0.9114580750465393
55,84324,1000,True,-0.9656143188476562
56,82421,1000,True,-1.0166444778442383
57,85348,1000,True,-1.0674688816070557
58,82346,1000,True,-1.1145856380462646
59,83018,1000,True,-1.1540170907974243
60,82321,1000,True,-1.1885720491409302
61,82568,1000,True,-1.2167845964431763
62,81744,1000,True,-1.242681860923767
63,82534,1000,True,-1.2677175998687744
64,82218,1000,True,-1.2885178327560425
65,82741,1000,True,-1.3059388399124146
66,81973,1000,True,-1.3188451528549194
67,82984,1000,True,-1.3303632736206055
68,84470,1000,True,-1.340039610862732
69,82500,1000,True,-1.3480418920516968
70,83219,1000,True,-1.3517463207244873
71,82703,1000,True,-1.3540152311325073
72,82899,1000,True,-1.3519519567489624
73,82948,1000,True,-1.345444679260254
74,82321,1000,True,-1.3378039598464966
75,83623,1000,True,-1.3292657136917114
76,82966,1000,True,-1.3176777362823486
77,82903,1000,True,-1.3030309677124023
78,82049,1000,True,-1.2819935083389282
79,84724,1000,True,-1.2562748193740845
80,82639,1000,True,-1.2276681661605835
81,83093,1000,True,-1.1929657459259033
82,82830,1000,True,-1.1496286392211914
83,82978,1000,True,-1.0950809717178345
84,83512,1000,True,-1.0278855562210083
85,82895,1000,True,-0.9542962312698364
86,82153,1000,True,-0.8665689826011658
87,82654,1000,True,-0.7609890699386597
88,82493,1000,True,-0.6263324022293091
89,82920,1000,True,-0.4613550007343292
90,82187,1000,True,-0.2747792899608612
91,84612,1000,True,-0.08334271609783173
92,82605,1000,True,0.09975647181272507
93,83132,1000,True,0.27296188473701477
94,82485,1000,True,0.4357767403125763
95,30328558,1000,True,-0.24028226733207703
96,89533,1000,True,-0.30693739652633667
97,86442,1000,True,-0.3863624334335327
98,89141,1000,True,-0.4736209511756897
99,84118,1000,True,-0.5607803463935852
