path,processes,samples_per_process,mean_ms,mean_ci95_low_ms,mean_ci95_high_ms,process_mean_stddev_ms,p50_ms,p90_ms,p99_ms,initialization_mean_ms,first_run_mean_ms,maximum_rss_mib,maximum_cuda_mib
eager,5,10,1511.6614166400002,1504.58837498,1515.4112606800002,7.85766888451365,1513.949118,1518.71802,1519.802893,26352.7122218,1629.2638138,8038.140625,5466.0
direct_artifact,5,10,1275.17126194,1265.50891622,1282.7533734400001,10.910667683149779,1279.396031,1284.404232,1288.799482,4925.407738,1385.836395,6126.82421875,2002.0
generated_session,5,10,1279.71090146,1275.58909848,1283.34171618,4.820501284528756,1281.180261,1284.679683,1288.7365,4104.2685178,1394.9409925999998,5991.74609375,7996.875
