index,latency_ns,revision,revision_present,output_probe
0,86698,1005,True,-0.6450552940368652
1,84032,1006,True,-0.7227338552474976
2,82138,1007,True,-0.7925189733505249
3,83408,1008,True,-0.8568748235702515
4,82169,1009,True,-0.9114580750465393
5,82047,1010,True,-0.9656143188476562
6,81744,1011,True,-1.0166444778442383
7,82078,1012,True,-1.0674688816070557
8,82413,1013,True,-1.1145856380462646
9,81704,1014,True,-1.1540170907974243
10,82079,1015,True,-1.1885720491409302
11,81987,1016,True,-1.2167845964431763
12,82032,1017,True,-1.242681860923767
13,84159,1018,True,-1.2677175998687744
14,81437,1019,True,-1.2885178327560425
15,82649,1020,True,-1.3059388399124146
16,81500,1021,True,-1.3188451528549194
17,82110,1022,True,-1.3303632736206055
18,82141,1023,True,-1.340039610862732
19,81817,1024,True,-1.3480418920516968
20,82205,1025,True,-1.3517463207244873
21,81588,1026,True,-1.3540152311325073
22,81333,1027,True,-1.3519519567489624
23,82272,1028,True,-1.345444679260254
24,81507,1029,True,-1.3378039598464966
25,81171,1030,True,-1.3292657136917114
26,81137,1031,True,-1.3176777362823486
27,82470,1032,True,-1.3030309677124023
28,81451,1033,True,-1.2819935083389282
29,81444,1034,True,-1.2562748193740845
30,81532,1035,True,-1.2276681661605835
31,82329,1036,True,-1.1929657459259033
32,82260,1037,True,-1.1496286392211914
33,82466,1038,True,-1.0950809717178345
34,81200,1039,True,-1.0278855562210083
35,83830,1040,True,-0.9542962312698364
36,82266,1041,True,-0.8665689826011658
37,81928,1042,True,-0.7609890699386597
38,81447,1043,True,-0.6263324022293091
39,82566,1044,True,-0.4613550007343292
40,82066,1045,True,-0.2747792899608612
41,82069,1046,True,-0.08334271609783173
42,81330,1047,True,0.09975647181272507
43,82424,1048,True,0.27296188473701477
44,81613,1049,True,0.4357767403125763
45,48511327,1050,True,-0.24028226733207703
46,91778,1051,True,-0.30693739652633667
47,84581,1052,True,-0.3863624334335327
48,84045,1053,True,-0.4736209511756897
49,82668,1054,True,-0.5607803463935852
50,83593,1055,True,-0.6450552940368652
51,83145,1056,True,-0.7227338552474976
52,85484,1057,True,-0.7925189733505249
53,84068,1058,True,-0.8568748235702515
54,83746,1059,True,-0.9114580750465393
55,83386,1060,True,-0.9656143188476562
56,83597,1061,True,-1.0166444778442383
57,82855,1062,True,-1.0674688816070557
58,83144,1063,True,-1.1145856380462646
59,82720,1064,True,-1.1540170907974243
60,83457,1065,True,-1.1885720491409302
61,82243,1066,True,-1.2167845964431763
62,83325,1067,True,-1.242681860923767
63,84894,1068,True,-1.2677175998687744
64,83761,1069,True,-1.2885178327560425
65,83096,1070,True,-1.3059388399124146
66,83675,1071,True,-1.3188451528549194
67,83177,1072,True,-1.3303632736206055
68,84314,1073,True,-1.340039610862732
69,82749,1074,True,-1.3480418920516968
70,83170,1075,True,-1.3517463207244873
71,83132,1076,True,-1.3540152311325073
72,83305,1077,True,-1.3519519567489624
73,84839,1078,True,-1.345444679260254
74,83529,1079,True,-1.3378039598464966
75,83740,1080,True,-1.3292657136917114
76,83189,1081,True,-1.3176777362823486
77,82005,1082,True,-1.3030309677124023
78,82811,1083,True,-1.2819935083389282
79,82141,1084,True,-1.2562748193740845
80,83905,1085,True,-1.2276681661605835
81,84076,1086,True,-1.1929657459259033
82,83023,1087,True,-1.1496286392211914
83,82935,1088,True,-1.0950809717178345
84,83802,1089,True,-1.0278855562210083
85,83221,1090,True,-0.9542962312698364
86,83553,1091,True,-0.8665689826011658
87,82947,1092,True,-0.7609890699386597
88,83232,1093,True,-0.6263324022293091
89,82538,1094,True,-0.4613550007343292
90,83488,1095,True,-0.2747792899608612
91,83430,1096,True,-0.08334271609783173
92,83139,1097,True,0.09975647181272507
93,82910,1098,True,0.27296188473701477
94,83755,1099,True,0.4357767403125763
95,48116590,1100,True,-0.24028226733207703
96,91127,1101,True,-0.30693739652633667
97,85625,1102,True,-0.3863624334335327
98,83485,1103,True,-0.4736209511756897
99,83990,1104,True,-0.5607803463935852
