index,latency_ns,revision,revision_present,output_probe
0,84505,1000,False,-0.6450552940368652
1,83991,1000,False,-0.7227338552474976
2,81214,1000,False,-0.7925189733505249
3,83584,1000,False,-0.8568748235702515
4,81370,1000,False,-0.9114580750465393
5,82208,1000,False,-0.9656143188476562
6,81669,1000,False,-1.0166444778442383
7,81986,1000,False,-1.0674688816070557
8,81641,1000,False,-1.1145856380462646
9,84153,1000,False,-1.1540170907974243
10,81575,1000,False,-1.1885720491409302
11,82165,1000,False,-1.2167845964431763
12,81918,1000,False,-1.242681860923767
13,81618,1000,False,-1.2677175998687744
14,81744,1000,False,-1.2885178327560425
15,81234,1000,False,-1.3059388399124146
16,81389,1000,False,-1.3188451528549194
17,81208,1000,False,-1.3303632736206055
18,82237,1000,False,-1.340039610862732
19,82199,1000,False,-1.3480418920516968
20,80862,1000,False,-1.3517463207244873
21,81883,1000,False,-1.3540152311325073
22,81364,1000,False,-1.3519519567489624
23,81552,1000,False,-1.345444679260254
24,81534,1000,False,-1.3378039598464966
25,82038,1000,False,-1.3292657136917114
26,81360,1000,False,-1.3176777362823486
27,81055,1000,False,-1.3030309677124023
28,81585,1000,False,-1.2819935083389282
29,81769,1000,False,-1.2562748193740845
30,81718,1000,False,-1.2276681661605835
31,81877,1000,False,-1.1929657459259033
32,81917,1000,False,-1.1496286392211914
33,81795,1000,False,-1.0950809717178345
34,81644,1000,False,-1.0278855562210083
35,81761,1000,False,-0.9542962312698364
36,80703,1000,False,-0.8665689826011658
37,81459,1000,False,-0.7609890699386597
38,81536,1000,False,-0.6263324022293091
39,81802,1000,False,-0.4613550007343292
40,81226,1000,False,-0.2747792899608612
41,81503,1000,False,-0.08334271609783173
42,81694,1000,False,0.09975647181272507
43,82516,1000,False,0.27296188473701477
44,81451,1000,False,0.4357767403125763
45,48127878,1000,False,-0.24028226733207703
46,92751,1000,False,-0.30693739652633667
47,84432,1000,False,-0.3863624334335327
48,83152,1000,False,-0.4736209511756897
49,82806,1000,False,-0.5607803463935852
50,83576,1000,False,-0.6450552940368652
51,84412,1000,False,-0.7227338552474976
52,83278,1000,False,-0.7925189733505249
53,83028,1000,False,-0.8568748235702515
54,82825,1000,False,-0.9114580750465393
55,82477,1000,False,-0.9656143188476562
56,83329,1000,False,-1.0166444778442383
57,82687,1000,False,-1.0674688816070557
58,83188,1000,False,-1.1145856380462646
59,83276,1000,False,-1.1540170907974243
60,82900,1000,False,-1.1885720491409302
61,82558,1000,False,-1.2167845964431763
62,83079,1000,False,-1.242681860923767
63,82225,1000,False,-1.2677175998687744
64,83110,1000,False,-1.2885178327560425
65,82706,1000,False,-1.3059388399124146
66,82995,1000,False,-1.3188451528549194
67,82161,1000,False,-1.3303632736206055
68,83228,1000,False,-1.340039610862732
69,81350,1000,False,-1.3480418920516968
70,82916,1000,False,-1.3517463207244873
71,83190,1000,False,-1.3540152311325073
72,83470,1000,False,-1.3519519567489624
73,84360,1000,False,-1.345444679260254
74,82653,1000,False,-1.3378039598464966
75,82275,1000,False,-1.3292657136917114
76,83249,1000,False,-1.3176777362823486
77,82761,1000,False,-1.3030309677124023
78,82423,1000,False,-1.2819935083389282
79,82058,1000,False,-1.2562748193740845
80,83115,1000,False,-1.2276681661605835
81,82583,1000,False,-1.1929657459259033
82,83494,1000,False,-1.1496286392211914
83,82693,1000,False,-1.0950809717178345
84,85136,1000,False,-1.0278855562210083
85,82693,1000,False,-0.9542962312698364
86,83470,1000,False,-0.8665689826011658
87,83448,1000,False,-0.7609890699386597
88,82668,1000,False,-0.6263324022293091
89,82216,1000,False,-0.4613550007343292
90,83365,1000,False,-0.2747792899608612
91,82885,1000,False,-0.08334271609783173
92,83669,1000,False,0.09975647181272507
93,82065,1000,False,0.27296188473701477
94,83477,1000,False,0.4357767403125763
95,48104362,1000,False,-0.24028226733207703
96,90113,1000,False,-0.30693739652633667
97,84939,1000,False,-0.3863624334335327
98,83002,1000,False,-0.4736209511756897
99,83223,1000,False,-0.5607803463935852
