index,latency_ns,revision,revision_present,output_probe
0,84936,1000,True,-0.6450552940368652
1,86658,1000,True,-0.7227338552474976
2,81325,1000,True,-0.7925189733505249
3,81663,1000,True,-0.8568748235702515
4,82163,1000,True,-0.9114580750465393
5,82046,1000,True,-0.9656143188476562
6,81277,1000,True,-1.0166444778442383
7,82058,1000,True,-1.0674688816070557
8,99360,1000,True,-1.1145856380462646
9,82083,1000,True,-1.1540170907974243
10,81873,1000,True,-1.1885720491409302
11,82438,1000,True,-1.2167845964431763
12,84654,1000,True,-1.242681860923767
13,82272,1000,True,-1.2677175998687744
14,81366,1000,True,-1.2885178327560425
15,81994,1000,True,-1.3059388399124146
16,83632,1000,True,-1.3188451528549194
17,85343,1000,True,-1.3303632736206055
18,82014,1000,True,-1.340039610862732
19,82100,1000,True,-1.3480418920516968
20,81585,1000,True,-1.3517463207244873
21,82353,1000,True,-1.3540152311325073
22,83489,1000,True,-1.3519519567489624
23,82959,1000,True,-1.345444679260254
24,383950,1000,True,-1.3378039598464966
25,81932,1000,True,-1.3292657136917114
26,81429,1000,True,-1.3176777362823486
27,81472,1000,True,-1.3030309677124023
28,81563,1000,True,-1.2819935083389282
29,81304,1000,True,-1.2562748193740845
30,83280,1000,True,-1.2276681661605835
31,81887,1000,True,-1.1929657459259033
32,81730,1000,True,-1.1496286392211914
33,81690,1000,True,-1.0950809717178345
34,80987,1000,True,-1.0278855562210083
35,81728,1000,True,-0.9542962312698364
36,81374,1000,True,-0.8665689826011658
37,82151,1000,True,-0.7609890699386597
38,81372,1000,True,-0.6263324022293091
39,82660,1000,True,-0.4613550007343292
40,81282,1000,True,-0.2747792899608612
41,83121,1000,True,-0.08334271609783173
42,81783,1000,True,0.09975647181272507
43,82413,1000,True,0.27296188473701477
44,81230,1000,True,0.4357767403125763
45,30579051,1000,True,-0.24028226733207703
46,89704,1000,True,-0.30693739652633667
47,85152,1000,True,-0.3863624334335327
48,83793,1000,True,-0.4736209511756897
49,83051,1000,True,-0.5607803463935852
50,82748,1000,True,-0.6450552940368652
51,83308,1000,True,-0.7227338552474976
52,82637,1000,True,-0.7925189733505249
53,83774,1000,True,-0.8568748235702515
54,82751,1000,True,-0.9114580750465393
55,82952,1000,True,-0.9656143188476562
56,82647,1000,True,-1.0166444778442383
57,84841,1000,True,-1.0674688816070557
58,82363,1000,True,-1.1145856380462646
59,82969,1000,True,-1.1540170907974243
60,83047,1000,True,-1.1885720491409302
61,83462,1000,True,-1.2167845964431763
62,82097,1000,True,-1.242681860923767
63,82277,1000,True,-1.2677175998687744
64,81803,1000,True,-1.2885178327560425
65,82988,1000,True,-1.3059388399124146
66,82285,1000,True,-1.3188451528549194
67,82562,1000,True,-1.3303632736206055
68,84747,1000,True,-1.340039610862732
69,81942,1000,True,-1.3480418920516968
70,82133,1000,True,-1.3517463207244873
71,83020,1000,True,-1.3540152311325073
72,82415,1000,True,-1.3519519567489624
73,82066,1000,True,-1.345444679260254
74,82190,1000,True,-1.3378039598464966
75,83623,1000,True,-1.3292657136917114
76,82568,1000,True,-1.3176777362823486
77,82302,1000,True,-1.3030309677124023
78,81988,1000,True,-1.2819935083389282
79,82896,1000,True,-1.2562748193740845
80,83036,1000,True,-1.2276681661605835
81,82886,1000,True,-1.1929657459259033
82,82754,1000,True,-1.1496286392211914
83,82718,1000,True,-1.0950809717178345
84,82906,1000,True,-1.0278855562210083
85,83675,1000,True,-0.9542962312698364
86,81574,1000,True,-0.8665689826011658
87,83367,1000,True,-0.7609890699386597
88,82187,1000,True,-0.6263324022293091
89,82829,1000,True,-0.4613550007343292
90,82875,1000,True,-0.2747792899608612
91,83676,1000,True,-0.08334271609783173
92,82888,1000,True,0.09975647181272507
93,82834,1000,True,0.27296188473701477
94,82904,1000,True,0.4357767403125763
95,30236497,1000,True,-0.24028226733207703
96,87909,1000,True,-0.30693739652633667
97,84927,1000,True,-0.3863624334335327
98,86490,1000,True,-0.4736209511756897
99,84036,1000,True,-0.5607803463935852
